,Home,Score,Away
0,Medkila,1–1,Sandviken
1,Avaldsnes,2–1,Vålerenga
2,Grand Bodø,2–2,Arna-Bjørnar
3,Røa,1–2,Stabæk
4,LSK Kvinner,6–1,Klepp
5,Trondheims-Ørn,3–2,Kolbotn
7,Arna-Bjørnar,1–1,LSK Kvinner
8,Vålerenga,0–2,Røa
9,Kolbotn,1–5,Avaldsnes
10,Stabæk,6–1,Medkila
11,Sandviken,2–2,Trondheims-Ørn
12,Klepp,4–2,Grand Bodø
14,Stabæk,5–1,Grand Bodø
15,Vålerenga,2–2,Arna-Bjørnar
17,Avaldsnes,0–0,Røa
19,Trondheims-Ørn,2–2,Vålerenga
20,Sandviken,1–2,Kolbotn
21,Røa,1–2,Arna-Bjørnar
22,Medkila,0–5,Klepp
23,Avaldsnes,2–1,Stabæk
24,LSK Kvinner,9–1,Grand Bodø
26,Grand Bodø,2–3,Avaldsnes
27,Stabæk,2–0,Kolbotn
28,Klepp,1–1,Røa
29,Arna-Bjørnar,2–0,Trondheims-Ørn
30,Vålerenga,1–0,Sandviken
31,LSK Kvinner,3–1,Medkila
33,Trondheims-Ørn,0–4,Stabæk
34,Medkila,1–3,Grand Bodø
35,Røa,2–3,LSK Kvinner
36,Avaldsnes,2–0,Klepp
37,Kolbotn,0–2,Vålerenga
39,Klepp,2–0,Vålerenga
40,LSK Kvinner,3–0,Trondheims-Ørn
41,Stabæk,1–0,Sandviken
42,Grand Bodø,1–2,Røa
43,Medkila,0–2,Avaldsnes
44,Arna-Bjørnar,3–0,Kolbotn
46,Trondheims-Ørn,3–1,Grand Bodø
47,Avaldsnes,2–2,Arna-Bjørnar
48,Kolbotn,0–2,Klepp
49,Sandviken,1–2,LSK Kvinner
50,Røa,4–0,Medkila
52,LSK Kvinner,0–0,Kolbotn
53,Klepp,1–0,Trondheims-Ørn
54,Arna-Bjørnar,1–1,Stabæk
55,Røa,3–3,Avaldsnes
56,Medkila,1–6,Vålerenga
57,Grand Bodø,1–5,Sandviken
59,Sandviken,0–1,Klepp
60,Kolbotn,0–3,Røa
61,Trondheims-Ørn,3–0,Medkila
62,Avaldsnes,0–1,LSK Kvinner
64,Røa,4–0,Sandviken
65,Klepp,2–2,Stabæk
66,LSK Kvinner,2–1,Vålerenga
67,Grand Bodø,1–1,Kolbotn
68,Medkila,0–1,Arna-Bjørnar
69,Avaldsnes,1–0,Trondheims-Ørn
71,Stabæk,0–1,LSK Kvinner
72,Trondheims-Ørn,0–0,Røa
73,Arna-Bjørnar,3–1,Klepp
74,Vålerenga,2–0,Grand Bodø
75,Sandviken,0–1,Avaldsnes
76,Kolbotn,2–0,Medkila
78,LSK Kvinner,2–0,Sandviken
79,Røa,4–3,Vålerenga
80,Klepp,4–1,Kolbotn
81,Medkila,0–1,Stabæk
82,Arna-Bjørnar,0–3,Avaldsnes
83,Grand Bodø,1–6,Trondheims-Ørn
85,Trondheims-Ørn,4–1,LSK Kvinner
86,Avaldsnes,5–0,Grand Bodø
87,Kolbotn,0–1,Arna-Bjørnar
88,Vålerenga,1–0,Klepp
89,Stabæk,2–0,Røa
90,Sandviken,1–1,Medkila
92,LSK Kvinner,1–0,Avaldsnes
93,Røa,2–0,Kolbotn
94,Arna-Bjørnar,2–3,Vålerenga
95,Klepp,0–0,Sandviken
96,Medkila,0–2,Trondheims-Ørn
97,Grand Bodø,1–2,Stabæk
99,Sandviken,2–0,Arna-Bjørnar
101,Grand Bodø,0–6,LSK Kvinner
102,Stabæk,0–1,Klepp
103,Kolbotn,1–1,Sandviken
104,Vålerenga,3–1,Medkila
105,Trondheims-Ørn,1–1,Arna-Bjørnar
107,Røa,4–1,Trondheims-Ørn
108,Kolbotn,0–2,Stabæk
109,Medkila,0–6,LSK Kvinner
110,Sandviken,2–0,Vålerenga
111,Arna-Bjørnar,5–2,Grand Bodø
113,Avaldsnes,4–1,Kolbotn
114,LSK Kvinner,2–0,Arna-Bjørnar
116,LSK Kvinner,6–1,Røa
117,Stabæk,3–3,Arna-Bjørnar
118,Vålerenga,2–0,Kolbotn
119,Grand Bodø,4–0,Medkila
120,Avaldsnes,6–0,Sandviken
121,Trondheims-Ørn,3–1,Klepp
123,Vålerenga,0–1,Avaldsnes
124,Kolbotn,0–1,Trondheims-Ørn
125,Klepp,0–2,LSK Kvinner
126,Røa,4–2,Grand Bodø
128,Klepp,1–0,Avaldsnes
130,Vålerenga,1–1,Stabæk
132,Sandviken,1–2,Stabæk
133,Arna-Bjørnar,6–0,Medkila
135,Stabæk,0–1,Vålerenga
136,Grand Bodø,1–4,Klepp
137,Medkila,1–0,Røa
138,Trondheims-Ørn,0–0,Sandviken
140,Klepp,2–0,Medkila
141,Vålerenga,2–2,Trondheims-Ørn
142,Arna-Bjørnar,0–2,Røa
143,Sandviken,6–2,Grand Bodø
144,Kolbotn,1–3,LSK Kvinner
145,Stabæk,2–1,Avaldsnes
147,Røa,0–1,Klepp
148,LSK Kvinner,3–2,Stabæk
149,Arna-Bjørnar,2–0,Sandviken
150,Grand Bodø,2–3,Vålerenga
151,Medkila,1–3,Kolbotn
152,Trondheims-Ørn,1–3,Avaldsnes
154,Klepp,0–0,Arna-Bjørnar
155,Stabæk,5–2,Trondheims-Ørn
156,Avaldsnes,5–0,Medkila
157,Kolbotn,2–0,Grand Bodø
158,Sandviken,0–2,Røa
159,Vålerenga,2–5,LSK Kvinner
